"","Date","Location","Airplane.model","Fatalities"
"603","Oct 1, 2012 at 1421 LT","Australia, Australia","De Havilland DH.84 Dragon",6
"604","Sep 30, 2012 at 0658 LT","Innsbruck, Tyrol","Cessna 414 Chancellor",6
"605","Sep 28, 2012 at 0618 LT","Kathmandu, Bagmati","Dornier DO228",19
"606","Sep 27, 2012 at 1545 LT","Constanza, La Vega","Piper PA-31-350 Navajo Chieftain",2
"607","Sep 22, 2012 at 1129 LT","New Delhi, National Capital Territory of Delhi","Raytheon 390 Premier I",0
"608","Sep 18, 2012 at 1003 LT","Macon, Georgia","Beechcraft Beechjet 400",0
"609","Sep 15, 2012 at 1340 LT","Rønne (Bornholm Island), Hovedstaden","Learjet 24",0
"610","Sep 12, 2012 at 1220 LT","Palana, Kamchatka Krai","PZL-Mielec AN-28",10
"611","Sep 7, 2012 at 2000 LT","Lohegaon, Maharashtra","Beechcraft King Air 90",0
"612","Sep 7, 2012 at 1300 LT","Rome, Lazio","Cessna 402",2
"613","Sep 5, 2012 at 0949 LT","Fort Worth, Texas","Cessna 421B Golden Eagle II",0
"614","Aug 31, 2012 at 1510 LT","Lahore, Punjab (<U+067E><U+0646><U+062C><U+0627><U+0628>)","ATR42-500",0
"615","Aug 30, 2012 at 0915 LT","Hualien, Hualien County (<U+82B1><U+84EE><U+7E23>)","Britten-Norman Islander",3
"616","Aug 25, 2012 at 0800 LT","Kenai, Alaska","De Havilland DHC-2 Beaver",0
"617","Aug 24, 2012 at 1800 LT","Montbéliard, Doubs","Pilatus PC-12",4
"618","Aug 24, 2012 at 0830 LT","Samarinda, East Kalimantan","Piper PA-31-350 Navajo Chieftain",4
"619","Aug 22, 2012 at 1535 LT","Annino AFB, Leningrad oblast","Cessna 421 Golden Eagle",2
"620","Aug 22, 2012 at 1217 LT","Ngerende, Rift Valley","Let 410UVP",4
"621","Aug 19, 2012 at 0800 LT","Talodi, South Kordofan (<U+062C><U+0646><U+0648><U+0628> <U+0643><U+0631><U+062F><U+0641><U+0627><U+0646>)","Antonov AN-26",32
"622","Aug 18, 2012 at 1855 LT","Granville, Manche","Pilatus PC-6 (Porter & Turbo Porter)",0
"623","Aug 11, 2012 at 1124 LT","Taylorville, Illinois","Beechcraft G18",1
"624","Aug 6, 2012 at 1540 LT","Altenrhein, Saint Gallen","Embraer EMB-505 Phenom 300",0
"625","Aug 2, 2012 at 0617 LT","Santiago de Compostela, Galicia","Cessna 500 Citation",2
"626","Jul 28, 2012 at 0745 LT","Juiz de Fora, Minas Gerais","Beechcraft Super King Air 200",8
"627","Jul 24, 2012 at 1610 LT","Jacarepaguá, Rio de Janeiro","Piper PA-31-350 Navajo Chieftain",0
"628","Jul 22, 2012 at 1200 LT","Bolshoe Gryzlovo, Moscow oblast","Let 410UVP",1
"629","Jul 19, 2012","Padali, Khabarovsk Krai","PZL-Mielec AN-2",0
"630","Jul 17, 2012 at 0100 LT","Saint George, Utah","Canadair RegionalJet CRJ-200",1
"631","Jul 13, 2012 at 1518 LT","Le Castellet, Var","Gulfstream GIV",3
"632","Jul 12, 2012 at 1730 LT","Angra dos Reis, Rio de Janeiro","Embraer EMB-121 Xingu",3
"633","Jul 12, 2012 at 0745 LT","Nouakchott, Nouakchott City District","Harbin Yunsunji Y-12",7
"634","Jul 7, 2012 at 0404 LT","Karnack, Texas","Beechcraft King Air 90",1
"635","Jul 6, 2012 at 1540 LT","Espinosa, Minas Gerais","Embraer EMB-820 Navajo",1
"636","Jul 4, 2012 at 1900 LT","El Palomar AFB, Buenos Aires province","Rockwell Sabreliner 75",0
"637","Jul 3, 2012 at 1200 LT","Honduras, Honduras","Piper PA-31 Cheyenne",1
"638","Jul 1, 2012 at 1830 LT","South Dakota, South Dakota","Lockheed C-130 Hercules",4
"639","Jul 1, 2012 at 1045 LT","Bollullos de la Mitación-La Juliana, Andalusia","Technoavia SM-92 Turbo Finist",0
"640","Jun 30, 2012 at 1620 LT","Dalton, Georgia","Piper PA-31-350 Navajo Chieftain",1
"641","Jun 27, 2012 at 0029 LT","Tver, Tver oblast","Ilyushin II-76",0
"642","Jun 23, 2012 at 1130 LT","Bucharest, Bucure<U+0219>ti","Cessna 207 Skywagon",0
"643","Jun 23, 2012 at 1100 LT","Melgar, Tolima","Cessna 208B Grand Caravan",4
"644","Jun 22, 2012 at 1001 LT","Morgantown, West Virginia","Beechcraft King Air 90",1
"645","Jun 21, 2012 at 1450 LT","Jakarta, City District of Jakarta","Fokker F27 Friendship",11
"646","Jun 20, 2012 at 1200 LT","Pweto, Katanga","Grumman G-159 Gulfstream GI",0
"647","Jun 18, 2012 at 1006 LT","Atlanta, Georgia","Beechcraft Beechjet 400",0
"648","Jun 16, 2012 at 0823 LT","Jersey, Channel Islands","ATR42-300",0
"649","Jun 12, 2012 at 1343 LT","Sandy Lake, Ontario","Avro 748",0
"650","Jun 11, 2012 at 2211 LT","Serov, Sverdlovsk oblast","PZL-Mielec AN-2",13
"651","Jun 10, 2012 at 1040 LT","Borodyanka, Kiev oblast","Let 410UVP",5
"652","Jun 7, 2012 at 1235 LT","Lake Wales, Florida","Pilatus PC-12",6
"653","Jun 7, 2012 at 1224 LT","Aspen, Colorado","Learjet 60",0
"654","Jun 6, 2012 at 1955 LT","Montevideo, Montevideo City District","Swearingen SA227AC Metro III",2
"655","Jun 3, 2012 at 1545 LT","Lagos, Lagos","McDonnell Douglas MD-83",163
"656","Jun 3, 2012 at 1347 LT","Utah, Utah","Lockheed P-2 Neptune",2
"657","Jun 2, 2012 at 1910 LT","Accra, Greater Accra","Boeing 727-200",12
"658","Jun 1, 2012 at 1235 LT","Pontianak, West Kalimantan","Boeing 737-400",0
"659","May 25, 2012 at 1710 LT","Lézignan-Corbières, Aude","Cessna 208B Grand Caravan",0
"660","May 25, 2012 at 1408 LT","Cochrane, Ontario","De Havilland DHC-2 Beaver",2
"661","May 23, 2012 at 1150 LT","Cáslav, Central Bohemian Region (Stredocesky kraj)","Antonov AN-30",0
"662","May 18, 2012 at 0150 LT","Iquique, Región de Tarapacá","Rockwell Shrike Commander 500S",2
"663","May 14, 2012 at 0945 LT","Jomsom, Dhawalagiri","Dornier DO228",15
"664","May 13, 2012 at 1845 LT","Kelowna, British Columbia","De Havilland DHC-2 Beaver",3
"665","May 11, 2012 at 1811 LT","Guatemala City, Guatemala","Convair CV-580",0
"666","May 11, 2012 at 1630 LT","Chanute, Kansas","Cessna 401",4
"667","May 9, 2012 at 1431 LT","Jakarta, City District of Jakarta","Sukhoi Superjet 100-95",45
"668","May 5, 2012 at 0240 LT","Grand Case, Saint-Martin","Piper PA-42 Cheyenne",4
"669","May 2, 2012 at 1055 LT","Yambio, Western Equatoria (<U+063A><U+0631><U+0628> <U+0627><U+0644><U+0627><U+0633><U+062A><U+0648><U+0627><U+0626><U+064A><U+0629>)","Cessna 208B Grand Caravan",0
"670","May 1, 2012 at 1255 LT","Jeddah, Makkah l-Mukarramah (<U+0645><U+0643><U+0629> <U+0627><U+0644><U+0645><U+0643><U+0631><U+0645><U+0629>)","Airbus A300-600",0
"671","Apr 30, 2012 at 0851 LT","Dhaka, Dhaka","ATR72-500",0
"672","Apr 28, 2012 at 1433 LT","Galkayo, Mudug (<U+0645><U+062F><U+0642><U+200E>)","Antonov AN-24",0
"673","Apr 27, 2012 at 1000 LT","Mexicali, Baja California","Boeing 727-200",0
"674","Apr 25, 2012 at 1730 LT","Muaritan, West Kalimantan","Pilatus PC-6 (Porter & Turbo Porter)",2
"675","Apr 21, 2012 at 0813 LT","Santa Cruz, Santa Cruz","Curtiss C-46",3
"676","Apr 20, 2012 at 1840 LT","Islamabad, Islamabad Capital Territory (<U+0648><U+0641><U+0627><U+0642><U+06CC> <U+062F><U+0627><U+0631><U+0627><U+0644><U+062D><U+06A9><U+0648><U+0645><U+062A>)","Boeing 737-200",127
"677","Apr 20, 2012 at 1430 LT","Jundiaí, São Paulo","Beechcraft King Air 90",1
"678","Apr 20, 2012 at 1247 LT","Guadalupe y Calvo, Chihuahua","IAI Arava 201",0
"679","Apr 19, 2012 at 1208 LT","Gulf of Mexico, World","Cessna 421C Golden Eagle III",1
"680","Apr 15, 2012","Yida, Unity (<U+0627><U+0644><U+0648><U+062D><U+062F><U+0629>)","Fokker F27 Friendship",0
"681","Apr 9, 2012 at 1014 LT","Kigoma, Kigoma Region","De Havilland Dash-8-300",0
"682","Apr 6, 2012 at 1645 LT","Everglades City, Florida","Comp Air CA-8",1
"683","Apr 3, 2012 at 0920 LT","Oranjestad, Dutch Antilles","Beechcraft King Air 90",0
"684","Apr 2, 2012 at 0735 LT","Tyumen, Tyumen oblast","ATR72-200",33
"685","Apr 2, 2012","Doro, Upper Nile (<U+0623><U+0639><U+0627><U+0644><U+064A> <U+0627><U+0644><U+0646><U+064A><U+0644>)","Avro 748",0
"686","Mar 29, 2012 at 0945 LT","Wau, Western Bahr el Ghazal (<U+063A><U+0631><U+0628> <U+0628><U+062D><U+0631> <U+0627><U+0644><U+063A><U+0632><U+0627><U+0644>)","Fokker 50",0
"687","Mar 27, 2012 at 0730 LT","Battle Creek, Michigan","Cessna 441 Conquest",0
"688","Mar 23, 2012 at 1500 LT","Phanom Thuan, Kanchanaburi (<U+0E01><U+0E32><U+0E0D><U+0E08><U+0E19><U+0E1A><U+0E38><U+0E23><U+0E35>)","Pilatus PC-6 (Porter & Turbo Porter)",0
"689","Mar 22, 2012 at 0058 LT","Puerto Aguirre, Región Aysén del General Carlos Ibáñez del Campo","Beechcraft Super King Air 350",8
"690","Mar 22, 2012","Byelaya Kalitva, Rostov oblast","Antonov AN-2",0
"691","Mar 15, 2012 at 1457 LT","Kiruna, Norrbotten","Lockheed C-130 Hercules",5
"692","Mar 15, 2012 at 1400 LT","Franklin, North Carolina","Cessna 501 Citation I",5
"693","Mar 15, 2012 at 0738 LT","San Juan, Puerto Rico","Convair CV-340",2
"694","Mar 13, 2012 at 1040 LT","Port Johnson, Alaska","De Havilland DHC-2 Beaver",0
"695","Mar 9, 2012 at 1410 LT","Deadmans Cay, Long Island","Beechcraft King Air 100",0
"696","Mar 9, 2012 at 1130 LT","Caballococha, Loreto","De Havilland DHC-6 Twin Otter",0
"697","Mar 8, 2012 at 1125 LT","Comayagua, Comayagua","Rockwell Shrike Commander 500S",2
"698","Mar 1, 2012 at 1900 LT","Egelsbach, Hesse","Cessna 750 Citation X",5
"699","Mar 1, 2012 at 1200 LT","Quellón, Región de Los Lagos","Piper PA-31-350 Navajo Chieftain",8
"700","Feb 28, 2012 at 0716 LT","Manaus, Amazonas","Cessna 208 Caravan",1
"701","Feb 21, 2012 at 2100 LT","Guadalajara, Jalisco","Rockwell Gulfstream Commander 980",3
"702","Feb 19, 2012 at 1525 LT","Hayden, Colorado","Cessna 414 Chancellor",2
"703","Feb 18, 2012","Djibouti City, Djibouti","Pilatus PC-12",4
"704","Feb 17, 2012 at 1030 LT","Sandoway, Rakhine State","ATR72-500",0
"705","Feb 12, 2012 at 1300 LT","Bukavu, Sud-Kivu","Gulfstream GIV",6
"706","Feb 9, 2012 at 1200 LT","Punto Fijo, Falcón","Cessna 402",0
"707","Jan 30, 2012 at 0845 LT","Namoya, Sud-Kivu","PZL-Mielec AN-28",3
"708","Jan 24, 2012 at 0828 LT","Kandahar, Kandahar","McDonnell Douglas MD-83",0
"709","Jan 18, 2012 at 1117 LT","Welshpool, Powys","Piper PA-31-350 Navajo Chieftain",2
"710","Jan 13, 2012 at 1930 LT","Bartlesville, Oklahoma","Rockwell Aero Commander 500",0
"711","Jan 10, 2012 at 0957 LT","North Spirit Lake, Ontario","Piper PA-31-350 Navajo Chieftain",4
"712","Dec 28, 2011 at 1246 LT","Osh, Osh City","Tupolev TU-134",0
"713","Dec 26, 2011 at 1406 LT","Venice, Florida","Rockwell Aero Commander 560",1
"714","Dec 22, 2011 at 1725 LT","York, Pennsylvania","Cessna 441 Conquest",1
"715","Dec 20, 2011 at 1713 LT","Yogyakarta, Special Region of Yogyakarta","Boeing 737-300",0
"716","Dec 20, 2011 at 1005 LT","Morristown, New Jersey","Socata TBM-700",5
"717","Dec 18, 2011 at 1502 LT","Walan Rabat, Zabul","PZL-Mielec AN-28",0
"718","Dec 17, 2011 at 0740 LT","Abmisibil, Special Region of Papua","PAC 750XL - Pacific Aerospace Corporation",2
"719","Dec 12, 2011 at 1400 LT","Arua, Northern","Antonov AN-2",0
"720","Dec 10, 2011 at 1415 LT","Manila, Metro Manila","Beechcraft Queen Air 80",14
"721","Dec 9, 2011 at 1424 LT","Sioux Falls, South Dakota","Cessna 421 Golden Eagle",4
"722","Dec 4, 2011 at 1422 LT","Pointe-Noire, Pointe-Noire City District","Beechcraft King Air 100",0
"723","Dec 3, 2011 at 1308 LT","Larat, Maluku","Casa 212 Aviocar",0
"724","Dec 2, 2011 at 0810 LT","Midland, Texas","Beechcraft King Air 90",0
"725","Nov 29, 2011 at 1925 LT","Chuathbaluk, Alaska","Cessna 207 Skywagon",1
"726","Nov 28, 2011 at 2250 LT","Chicago-Palwaukee, Illinois","Piper PA-31-350 Navajo Chieftain",3
"727","Nov 23, 2011 at 1831 LT","Mesa, Arizona","Rockwell Grand Commander 690",6
"728","Nov 23, 2011 at 0942 LT","Bilogai-Sugapa, Special Region of Papua","Cessna 208B Grand Caravan",1
"729","Nov 16, 2011 at 0940 LT","Flint, Michigan","Piaggio P.180 Avanti",0
"730","Nov 12, 2011 at 1635 LT","Gladewater, Texas","Cessna 401",0
"731","Nov 10, 2011 at 1414 LT","Ecuvillens, Fribourg","Piper PA-31-350 Navajo Chieftain",1
"732","Nov 9, 2011 at 0915 LT","Lyon, Rhône","Socata TBM-700",1
"733","Nov 7, 2011 at 1830 LT","Kwigillingok, Alaska","Cessna 207 Skywagon",0
"734","Nov 1, 2011 at 1439 LT","Warsaw, Masovian Voivodeship (Mazowieckie)","Boeing 767-300",0
"735","Oct 31, 2011 at 1942 LT","Key West, Florida","Gulfstream G150",0
"736","Oct 28, 2011 at 2137 LT","Toulouse, Haute-Garonne","Piper PA-31 Cheyenne",4
"737","Oct 27, 2011 at 1612 LT","Vancouver, British Columbia","Beechcraft King Air 100",2
"738","Oct 25, 2011","Al Anad AFB (Kadamat Al Awdhali), Lahij (<U+0644><U+062D><U+062C>)","Antonov",4
"739","Oct 21, 2011 at 1523 LT","Nairobi, Nairobi City District","Cessna 401",2
"740","Oct 18, 2011 at 1906 LT","Nepal, Nepal","Britten-Norman Islander",6
"741","Oct 15, 2011 at 0000 LT","Shabunda, Sud-Kivu","PZL-Mielec AN-28",0
"742","Oct 14, 2011 at 1355 LT","Xakanaka, North-West District","Cessna 208B Grand Caravan",8
"743","Oct 13, 2011 at 1717 LT","Madang, Madang","De Havilland Dash-8-100",28
"744","Oct 12, 2011 at 1334 LT","North Perry, Florida","Socata TBM-700",0
"745","Oct 12, 2011 at 0800 LT","Port Gentil, Ogooué-Maritime (Port-Gentil)","Embraer EMB-120 Brasília",0
"746","Oct 10, 2011 at 1315 LT","Antalya, Mediterranean Region (Akdeniz Bölgesi)","Boeing 737-400",0
"747","Oct 9, 2011 at 1128 LT","Zasovskaya, Krasnodar Krai","PZL-Mielec AN-2",0
"748","Oct 7, 2011 at 1730 LT","Manhuaçu, Minas Gerais","Cessna 550 Citation II",0
"749","Oct 5, 2011 at 1730 LT","Matinicus Island, Maine","Cessna 207 Skywagon",1
"750","Oct 4, 2011 at 1140 LT","Lutsel K'e, Northwest Territories","Cessna 208B Grand Caravan",2
"751","Oct 3, 2011","Newnan, Georgia","Dassault Falcon 20",0
"752","Sep 29, 2011 at 0735 LT","Bohorok, North Sumatra","Casa 212 Aviocar",18
"753","Sep 28, 2011 at 1715 LT","Cobb County-McCollum, Georgia","Mitsubishi MU-2 Marquise",0
"754","Sep 26, 2011 at 0855 LT","Puerto Ordaz, Bolívar","Douglas DC-9",0
"755","Sep 25, 2011 at 0731 LT","Kathmandu, Bagmati","Beechcraft 1900D",19
"756","Sep 23, 2011 at 1930 LT","Kodiak, Alaska","De Havilland DHC-3 Otter",1
"757","Sep 22, 2011 at 1318 LT","Yellowknife, Northwest Territories","De Havilland DHC-6 Twin Otter",2
"758","Sep 22, 2011 at 1313 LT","Wamena, Special Region of Papua","Pilatus PC-6 (Porter & Turbo Porter)",3
"759","Sep 20, 2011 at 1630 LT","Cap Haïtien, North","Beechcraft 99",3
"760","Sep 16, 2011 at 1911 LT","Quito, Pichincha","Embraer ERJ-190",0
"761","Sep 14, 2011 at 1130 LT","Huambo, Huambo","Embraer EMB-120 Brasília",17
"762","Sep 12, 2011 at 1345 LT","Del Norte, Nuevo León","Piper PA-31-350 Navajo Chieftain",2
"763","Sep 9, 2011 at 1230 LT","Indonesia, Indonesia","Cessna 208 Caravan",2
"764","Sep 7, 2011 at 1605 LT","Yaroslavl, Yaroslavl oblast","Yakovlev Yak-42",44
"765","Sep 6, 2011 at 1855 LT","Trinidad, Beni","Swearingen SA227AC Metro III",8
"766","Sep 5, 2011 at 1830 LT","Racine, Wisconsin","Socata TBM-850",1
"767","Sep 4, 2011 at 1535 LT","Ottawa, Ontario","Embraer ERJ-145",0
"768","Sep 3, 2011 at 1200 LT","Vinnitsa, Vinnytsia Oblast","PZL-Mielec AN-2",1
"769","Sep 2, 2011 at 1748 LT","Robinson Crusoe Island, Chile","Casa 212 Aviocar",21
"770","Sep 2, 2011 at 1335 LT","Nightmute, Alaska","Cessna 207 Skywagon",0
"771","Sep 2, 2011 at 1335 LT","Nightmute, Alaska","Cessna 208 Caravan",1
"772","Aug 28, 2011 at 0912 LT","Krasnodar, Krasnodar Krai","PZL-Mielec AN-2",1
"773","Aug 22, 2011 at 1200 LT","Choigan-Khole Lake, Republic of Tuva","PZL-Mielec AN-2",1
"774","Aug 20, 2011 at 1200 LT","Port Kaituma, Guyana","Britten-Norman Islander",0
"775","Aug 20, 2011 at 1142 LT","Resolute Bay, Nunavut","Boeing 737-200",12
"776","Aug 14, 2011 at 1030 LT","Tzaneen, Limpopo","Piaggio P.166",7
"777","Aug 14, 2011 at 1030 LT","Tzaneen, Limpopo","Piaggio P.166",6
"778","Aug 13, 2011 at 1940 LT","McGrath, Alaska","Cessna 207 Skywagon",2
"779","Aug 9, 2011 at 1434 LT","Omsukchan, Magadan oblast","Antonov AN-12",11
"780","Aug 8, 2011 at 1420 LT","Blagoveshchensk, Amur oblast","Antonov AN-24",0
"781","Aug 2, 2011 at 1327 LT","Brazil, Brazil","Cessna 208 Caravan",8
"782","Aug 1, 2011 at 1700 LT","Port Vila, Vanuatu","Cessna 207 Skywagon",0
"783","Jul 30, 2011 at 0132 LT","Georgetown, Guyana","Boeing 737-800",0
"784","Jul 29, 2011 at 0911 LT","Cairo, Cairo","Boeing 777-200",0
"785","Jul 28, 2011 at 0412 LT","Jeju, Jeju (<U+C81C><U+C8FC><U+B3C4>)","Boeing 747-400",2
"786","Jul 26, 2011 at 0900 LT","Guelmim, Guelmim-Es Semara","Lockheed C-130 Hercules",80
"787","Jul 23, 2011","Kei Mouth, Eastern Cape","Cessna 208 Caravan",0
"788","Jul 17, 2011 at 1021 LT","Shannon, Munster","ATR72-200",0
"789","Jul 14, 2011 at 2230 LT","Warsaw, Masovian Voivodeship (Mazowieckie)","ATR72-200",0
"790","Jul 14, 2011","Port Harcourt, Rivers","Cessna 560XLS Citation Excel",0
"791","Jul 13, 2011 at 0654 LT","Recife, Pernambuco","Let 410UVP",16
"792","Jul 11, 2011 at 1155 LT","Strezhevoy, Tomsk oblast","Antonov AN-24",7
"793","Jul 11, 2011 at 0910 LT","Maldivian Islands, Maldivian Islands","De Havilland DHC-6 Twin Otter",0
"794","Jul 9, 2011 at 1740 LT","Demopolis, Alabama","Cessna 421 Golden Eagle",7
"795","Jul 8, 2011 at 1511 LT","Kisangani, Orientale","Boeing 727-100",77
"796","Jul 6, 2011 at 0010 LT","Bagram AFB, Parwan","Ilyushin II-76",9
"797","Jul 4, 2011 at 1610 LT","Pukatawagan, Manitoba","Cessna 208B Grand Caravan",1
"798","Jun 30, 2011 at 1111 LT","Buss Lakes, Saskatchewan","De Havilland DHC-2 Beaver",5
"799","Jun 20, 2011 at 2340 LT","Petrozavodsk, Republic of Karelia","Tupolev TU-134",47
"800","Jun 17, 2011 at 1506 LT","Toronto-Buttonville, Ontario","Dassault Falcon 10",0
"801","Jun 16, 2011 at 0950 LT","Zaraza, Guárico","Piper PA-31-350 Navajo Chieftain",0
"802","Jun 15, 2011 at 1405 LT","Blountville, Tennessee","Beechcraft King Air 100",0
"803","Jun 13, 2011 at 0930 LT","Aurora, Illinois","Boeing B-17 Flying Fortress",0
"804","Jun 12, 2011 at 1455 LT","Cold Bay, Alaska","Douglas DC-6",0
"805","Jun 6, 2011 at 1025 LT","Libreville, Gabon","Antonov AN-26",0
"806","May 31, 2011 at 1730 LT","Melun-Villaroche, Seine-et-Marne","North American B-25 Mitchell",0
"807","May 25, 2011 at 2250 LT","New Delhi, National Capital Territory of Delhi","Pilatus PC-12",10
"808","May 25, 2011 at 1550 LT","Sedona, Arizona","Embraer EMB-500 Phenom 100",0
"809","May 24, 2011 at 1200 LT","Kaduna, Kaduna","Beechcraft King Air 90",2
"810","May 23, 2011 at 1520 LT","Monument Valley, Utah","Cessna 207 Skywagon",0
"811","May 19, 2011 at 0843 LT","Salem, Ohio","Socata TBM-850",0
"812","May 18, 2011 at 2050 LT","Prahuaniyeu, Río Negro","Saab 340",22
"813","May 18, 2011 at 1727 LT","Point Mugu NAS, California","Boeing 707",0
"814","May 17, 2011 at 1915 LT","Stavropol, Stavropol Krai","PZL-Mielec AN-2",0
"815","May 16, 2011 at 0218 LT","Atqasuk, Alaska","Beechcraft Super King Air 200",0
"816","May 7, 2011 at 1405 LT","Kaimana, Special Region of West Papua","Xian MA60",25
"817","May 5, 2011","Loreto, Baja California Sur","BAe 125",0
"818","May 4, 2011 at 1045 LT","Lengpui, Mizoram","Cessna 208B Grand Caravan",0
"819","May 2, 2011 at 0809 LT","Miami-Opa Locka, Florida","Beechcraft E18",1
"820","Apr 20, 2011","Bahía Blanca, Buenos Aires province","Grumman S-2 Tracker",0
"821","Apr 16, 2011 at 1600 LT","Ust-Kamchatsk, Kamchatka Krai","Yakovlev Yak-40",0
"822","Apr 15, 2011 at 1200 LT","Valparaíso, Región de Valparaíso","Piper PA-31-350 Navajo Chieftain",0
"823","Apr 11, 2011 at 2127 LT","Richmond, Virginia","Piper PA-31-350 Navajo Chieftain",0
"824","Apr 11, 2011 at 1216 LT","Loxley, Alabama","PZL-Mielec AN-2",0
"825","Apr 10, 2011 at 1805 LT","Biddeford, Maine","Cessna 402",1
"826","Apr 4, 2011 at 1400 LT","Kinshasa-N'Djili, Kinshasa City Province","Canadair RegionalJet CRJ-100",32
"827","Apr 2, 2011 at 1530 LT","Ravenna, Emilia-Romagna","Pilatus PC-6 (Porter & Turbo Porter)",0
"828","Apr 2, 2011 at 0934 LT","Roswell, New Mexico","Gulfstream G650",4
"829","Apr 1, 2011 at 1830 LT","Saskatoon, Saskatchewan","Casa 212 Aviocar",1
"830","Mar 31, 2011 at 1507 LT","Mayo, Yukon","De Havilland DHC-3 Otter",1
"831","Mar 30, 2011 at 1200 LT","Zhytomyr, Ukraine","PZL-Mielec AN-2",0
"832","Mar 28, 2011 at 1945 LT","China, China","Cessna 550 Citation II",3
"833","Mar 28, 2011 at 0825 LT","Canadian, Texas","Cessna 425 Conquest",0
"834","Mar 21, 2011 at 1530 LT","Pointe-Noire, Pointe-Noire City District","Antonov AN-12",23
"835","Mar 20, 2011 at 0900 LT","Seattle, Washington","Convair CV-580",0
"836","Mar 16, 2011 at 1029 LT","Long Beach, California","Beechcraft Super King Air 200",5
"837","Mar 8, 2011 at 1140 LT","Clayton, Georgia","De Havilland DHC-6 Twin Otter",2
"838","Mar 5, 2011 at 1040 LT","Belgorod, Belgorod oblast","Antonov AN-148",6
"839","Mar 4, 2011 at 1609 LT","Nuuk (Godthåb), Kommuneqarfik Sermersooq","De Havilland Dash-8-100",0
"840","Mar 4, 2011","Mexico, Mexico","Cessna 411",3
"841","Mar 2, 2011 at 0905 LT","Oslo, Oslo City","Swearingen SA227AC Metro III",0
"842","Feb 27, 2011 at 2007 LT","Al Ain, Abu Dhabi (<U+0625><U+0645><U+0627><U+0631><U+0629> <U+0623><U+0628><U+0648> <U+0638><U+0628><U+064A><U+200E>)","Grumman G-21A Goose",4
"843","Feb 27, 2011 at 1510 LT","La Paz, La Paz","Swearingen SA227AC Metro III",0
"844","Feb 25, 2011 at 1700 LT","Arapongas, Paraná","Embraer EMB-820 Navajo",0
"845","Feb 24, 2011 at 0800 LT","Horn Island, Queensland","Rockwell Aero Commander 500",1
"846","Feb 23, 2011 at 2002 LT","Connersville, Indiana","Cessna 421 Golden Eagle",1
"847","Feb 21, 2011 at 1930 LT","Altamira, Pará","ATR72-200",0
"848","Feb 18, 2011 at 1104 LT","Pachuca de Soto, Hidalgo","Learjet 24",2
"849","Feb 14, 2011","Bukavu, Sud-Kivu","Let 410UVP",2
"850","Feb 14, 2011 at 0802 LT","Tegucigalpa, Francisco Morazán","Let 410UVP",14
"851","Feb 12, 2011 at 1342 LT","Indonesia, Indonesia","Casa 212 Aviocar",5
"852","Feb 10, 2011 at 0950 LT","Cork, Munster","Swearingen SA227AC Metro III",6
"853","Feb 8, 2011 at 1640 LT","Plettenberg Bay, Western Cape","Pilatus PC-12",9
"854","Feb 4, 2011 at 1749 LT","Sulaymaniyah, As-Sulaymaniyyah (<U+0627><U+0644><U+0633><U+0644><U+064A><U+0645><U+0627><U+0646><U+064A><U+0629>)","Hawker 850XP",7
"855","Jan 27, 2011","Nairobi, Nairobi City District","Fokker F27 Friendship",0
"856","Jan 20, 2011 at 1545 LT","Ecuador, Ecuador","De Havilland DHC-6 Twin Otter",6
"857","Jan 19, 2011","Tharjath, Unity (<U+0627><U+0644><U+0648><U+062D><U+062F><U+0629>)","Cessna 208B Grand Caravan",0
"858","Jan 14, 2011 at 1750 LT","Goiânia, Goiás","Beechcraft Super King Air 200",6
"859","Jan 10, 2011 at 2050 LT","Hoedspruit AFB, Mpumalanga","Boeing 737-200",0
"860","Jan 9, 2011 at 1945 LT","Orumiyeh, West Azerbaijan","Boeing 727-200",77
"861","Jan 7, 2011 at 1600 LT","Venezuela, Venezuela","Partenavia P.68",5
"862","Jan 6, 2011 at 1326 LT","Kipnuk, Alaska","Cessna 208B Grand Caravan",0
"863","Jan 6, 2011 at 1100 LT","Springfield, Illinois","Learjet 35",0
"864","Jan 3, 2011 at 1350 LT","New Stuyahok, Alaska","Beechcraft E18",0
"865","Jan 1, 2011 at 1525 LT","Surgut, Khantia-Mansia okrug","Tupolev TU-154",3
"866","Dec 28, 2010 at 2130 LT","Tula, Tula oblast","Antonov AN-22",12
"867","Dec 27, 2010 at 2246 LT","Columbus, Ohio","Rockwell Aero Commander 500",0
"868","Dec 20, 2010 at 1700 LT","Wynella Station, Queensland","Fletcher FU-24",1
"869","Dec 20, 2010 at 1000 LT","Perris, California","Rockwell Grand Commander 680",1
"870","Dec 19, 2010 at 1502 LT","Samedan, Graubünden","Raytheon 390 Premier I",2
"871","Dec 15, 2010 at 1530 LT","Nepal, Nepal","De Havilland DHC-6 Twin Otter",22
"872","Dec 14, 2010 at 1510 LT","Nassau, New Providence","Beechcraft 18",2
"873","Dec 12, 2010 at 2140 LT","Londrina, Paraná","Beechcraft King Air 90",0
"874","Dec 8, 2010 at 1200 LT","Ouarzazate, Souss-Massa-Drâa","Britten-Norman Islander",5
"875","Dec 4, 2010 at 1436 LT","Moscow, Moscow oblast","Tupolev TU-154",2
"876","Dec 3, 2010 at 2340 LT","Maputo, Maputo City District","Beechcraft 1900C",0
