"","Date","Location","Airplane.model","Fatalities"
"59","Feb 15, 2017 at 2000 LT","Chichén Itzá, Yucatán","Piper PA-46 Malibu Meridian (Malibu Mirage)",0
"60","Feb 9, 2017","Thebephatshwa AFB, Kweneng District","Casa 212 Aviocar",3
"61","Jan 28, 2017 at 1830 LT","Leticia, Amazonas","Boeing 737-400",0
"62","Jan 26, 2017","Perth, Western Australia","Grumman G-73 Mallard",2
"63","Jan 23, 2017 at 1235 LT","Tucson, Arizona","Beechcraft Super King Air 300",2
"64","Jan 19, 2017 at 1330 LT","Paraty, Rio de Janeiro","Beechcraft King Air 90",5
"65","Jan 16, 2017 at 1156 LT","Howell, Michigan","Cessna 525 CJ4",0
"66","Jan 16, 2017 at 0719 LT","Bishkek-Manas, Bishkek City","Boeing 747-400",38
"67","Jan 2, 2017 at 1220 LT","Shabunda, Sud-Kivu","Let 410UVP",0
"68","Dec 29, 2016 at 2300 LT","Cleveland-Burke Lakefront, Ohio","Cessna 525 CJ4",6
"69","Dec 25, 2016 at 0527 LT","Sochi-Adler, Krasnodar Krai","Tupolev TU-154",92
"70","Dec 21, 2016 at 1718 LT","Butterworth AFB (Penang), Penang","Beechcraft Super King Air 200",1
"71","Dec 20, 2016 at 1723 LT","Puerto Carreño, Vichada","Boeing 727-200",5
"72","Dec 19, 2016 at 0445 LT","Tiksi, Republic of Yakutia (Sakha)","Ilyushin II-18",0
"73","Dec 18, 2016 at 0609 LT","Wamena, Special Region of Papua","Lockheed C-130 Hercules",13
"74","Dec 13, 2016 at 1530 LT","Lanseria, Gauteng","Cessna 402",0
"75","Dec 12, 2016 at 0900 LT","Tiniroto, Gisborne District Council","PAC 750XL - Pacific Aerospace Corporation",2
"76","Dec 12, 2016 at 0548 LT","Moab, Utah","Quest Kodiak 100",1
"77","Dec 7, 2016 at 1616 LT","Havelian, Khyber Pakhtunkhwa (<U+062E><U+06CC><U+0628><U+0631><U+067E><U+062E><U+062A><U+0648><U+0646><U+062E><U+0648><U+0627>)","ATR42-500",47
"78","Dec 5, 2016 at 2223 LT","Pebble City, Georgia","Swearingen SA227AC Metro III",1
"79","Dec 4, 2016 at 1619 LT","Sotillo de las Palomas, Castile-La Mancha","Beechcraft King Air 90",4
"80","Dec 3, 2016 at 1022 LT","Tanjung Pinang, Riau Islands","PZL-Mielec AN-28",13
"81","Nov 28, 2016 at 2158 LT","La Ceja, Antioquia","Avro RJ85",71
"82","Nov 27, 2016 at 1000 LT","Pitu (Morotai Island), North Maluku","Casa 212 Aviocar",0
"83","Nov 24, 2016 at 1200 LT","Zielona Góra-Przylep, Lubusz Voivodeship (Lubuskie)","Piper PA-31-310 Navajo",1
"84","Nov 18, 2016 at 1925 LT","Elko, Nevada","Piper PA-31 Cheyenne",4
"85","Oct 31, 2016 at 0830 LT","Ilaga, Special Region of West Papua","De Havilland DHC-4 Caribou",4
"86","Oct 28, 2016 at 1750 LT","Fort Lauderdale-Hollywood, Florida","Douglas DC-10",0
"87","Oct 28, 2016 at 1435 LT","Chicago-O'Hare, Illinois","Boeing 767-300",0
"88","Oct 24, 2016 at 0720 LT","Luqa, Malta","Swearingen SA227AC Metro III",5
"89","Oct 15, 2016 at 0835 LT","Fairoaks, Surrey","Socata TBM-900",0
"90","Oct 13, 2016 at 2136 LT","Kelowna, British Columbia","Cessna 500 Citation",4
